,LKW (S),Motorrad (L),PKW (S),Transporter (L),Transporter (S),PKW (L),Motorrad (S),Kleintransporter (S),LKW (L),Kleintransporter (L)
2023-01-03 00:20:00+00:00,0,0,5,0,2,0,0,0,1,0
2023-01-03 00:30:00+00:00,0,0,5,0,0,0,0,0,0,0
2023-01-03 00:40:00+00:00,0,0,5,0,0,0,0,0,0,0
2023-01-03 00:50:00+00:00,0,0,7,0,2,0,0,0,0,0
2023-01-03 01:00:00+00:00,0,0,9,0,0,0,0,0,0,0
2023-01-03 01:10:00+00:00,0,0,5,0,0,0,0,0,0,0
2023-01-03 01:20:00+00:00,0,0,5,0,1,0,0,0,0,0
2023-01-03 01:30:00+00:00,0,0,2,0,0,0,0,0,0,0
2023-01-03 01:40:00+00:00,0,0,2,0,0,0,0,0,0,0
2023-01-03 01:50:00+00:00,0,0,7,0,0,0,0,0,0,0
2023-01-03 02:00:00+00:00,0,0,5,0,1,1,0,0,0,0
2023-01-03 02:10:00+00:00,0,0,6,0,0,0,0,0,0,0
2023-01-03 02:20:00+00:00,0,0,6,0,2,0,0,0,1,0
2023-01-03 02:30:00+00:00,0,0,6,0,3,0,0,0,1,0
2023-01-03 02:40:00+00:00,0,0,11,0,2,0,0,0,0,0
2023-01-03 02:50:00+00:00,0,0,6,0,0,0,0,0,0,0
2023-01-03 03:00:00+00:00,0,0,10,0,1,1,0,0,0,0
2023-01-03 03:10:00+00:00,0,0,10,0,4,0,0,0,0,0
2023-01-03 03:20:00+00:00,0,0,14,0,0,0,0,0,0,0
2023-01-03 03:30:00+00:00,0,0,7,0,1,0,0,0,0,0
2023-01-03 03:40:00+00:00,0,0,15,0,2,0,0,0,0,0
2023-01-03 03:50:00+00:00,0,0,22,0,2,0,0,0,0,0
2023-01-03 04:00:00+00:00,0,0,16,0,1,0,0,0,0,0
2023-01-03 04:10:00+00:00,0,0,35,0,8,0,0,0,0,0
2023-01-03 04:20:00+00:00,0,0,52,0,8,0,0,0,0,0
2023-01-03 04:30:00+00:00,0,0,53,0,6,0,0,0,0,0
2023-01-03 04:40:00+00:00,0,0,66,0,4,0,0,0,0,0
2023-01-03 04:50:00+00:00,1,0,55,0,5,0,0,1,0,0
2023-01-03 05:00:00+00:00,0,0,50,0,9,0,0,0,0,0
2023-01-03 05:10:00+00:00,0,0,55,0,2,0,0,0,0,0
2023-01-03 05:20:00+00:00,0,0,62,0,8,0,0,1,0,0
2023-01-03 05:30:00+00:00,0,0,67,0,6,1,0,0,0,0
2023-01-03 05:40:00+00:00,0,0,75,0,4,0,0,0,0,0
2023-01-03 05:50:00+00:00,0,0,62,0,18,0,0,0,1,0
2023-01-03 06:00:00+00:00,0,0,64,0,13,0,0,0,0,0
2023-01-03 06:10:00+00:00,1,0,105,0,10,0,0,0,0,0
2023-01-03 06:20:00+00:00,0,0,96,0,12,0,0,1,0,0
2023-01-03 06:30:00+00:00,2,0,88,0,22,0,0,1,0,0
2023-01-03 06:40:00+00:00,0,0,108,0,20,1,0,0,0,0
2023-01-03 06:50:00+00:00,1,0,86,0,14,1,0,0,0,0
2023-01-03 07:00:00+00:00,0,0,84,0,14,0,0,0,0,0
2023-01-03 07:10:00+00:00,0,0,79,0,7,0,0,0,0,0
2023-01-03 07:20:00+00:00,0,0,87,0,10,0,0,0,0,0
2023-01-03 07:30:00+00:00,0,0,66,0,10,0,0,0,0,0
2023-01-03 07:40:00+00:00,0,1,75,0,12,0,1,0,0,0
2023-01-03 07:50:00+00:00,0,1,91,0,12,0,0,0,1,0
2023-01-03 08:00:00+00:00,0,0,72,0,17,0,0,2,0,0
2023-01-03 08:10:00+00:00,0,0,60,0,13,0,0,2,0,0
2023-01-03 08:20:00+00:00,1,0,62,0,14,0,0,0,1,0
2023-01-03 08:30:00+00:00,0,0,68,0,10,1,0,0,0,0
2023-01-03 08:40:00+00:00,1,0,84,0,5,0,0,0,0,0
2023-01-03 08:50:00+00:00,0,0,60,0,12,0,0,0,0,0
2023-01-03 09:00:00+00:00,0,0,58,0,5,0,0,0,0,0
2023-01-03 09:10:00+00:00,0,0,64,0,6,1,0,0,0,0
2023-01-03 09:20:00+00:00,0,0,64,0,11,0,0,2,0,0
2023-01-03 09:30:00+00:00,0,2,69,0,9,0,0,0,0,0
2023-01-03 09:40:00+00:00,1,0,65,0,13,0,0,0,1,0
2023-01-03 09:50:00+00:00,1,0,70,0,9,0,0,0,0,0
2023-01-03 10:00:00+00:00,0,0,67,0,2,0,0,0,0,0
2023-01-03 10:10:00+00:00,0,0,61,0,6,0,0,1,0,0
2023-01-03 10:20:00+00:00,0,0,69,0,5,0,0,0,0,0
2023-01-03 10:30:00+00:00,2,0,67,0,8,1,0,0,0,0
2023-01-03 10:40:00+00:00,1,0,68,0,12,0,0,0,0,0
2023-01-03 10:50:00+00:00,0,0,75,0,5,1,1,0,1,0
2023-01-03 11:00:00+00:00,0,0,49,0,2,0,0,0,0,0
2023-01-03 11:10:00+00:00,0,0,61,0,4,0,0,0,0,0
2023-01-03 11:20:00+00:00,0,0,79,0,4,0,0,0,0,0
2023-01-03 11:30:00+00:00,0,0,83,0,5,0,1,0,0,0
2023-01-03 11:40:00+00:00,1,0,77,0,5,0,2,0,0,0
